PROGRAMA DE PÓS-GRADUAÇÃO EM BIOTECNOLOGIA - RENORBIO/CCBS,1
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS DA SAÚDE/CCBS,1
PROGRAMA DE PÓS-GRADUAÇÃO EM ODONTOLOGIA/CCBS,1
COORDENAÇÃO DO CURSO DE ODONTOLOGIA/CCBS,1
PROGRAMA DE PÓS-GRADUAÇÃO EM SUSTENTABILIDADE DE ECOSSISTEMAS/CCBS,1
PROGRAMA DE PÓS-GRADUAÇÃO EM OCEANOGRAFIA,1
COORDENAÇÃO DO CURSO DE OCEANOGRAFIA/CCBS,1
PROGRAMA DE PÓS-GRADUAÇÃO EM REDE - PROF-ARTES EM REDE NACIONAL/CCH,1
GABINETE/PRH,1
PROGRAMA DE PÓS-GRADUAÇÃO EM MATEMÁTICA/CCET,1
GABINETE/PROAES,1
CAMPUS BALSAS,1
COORDENAÇÃO DO CURSO DE MATEMÁTICA/CCET,1
PROGRAMA DE PÓS-GRADUAÇÃO EM LETRAS/CCH,1
DEPARTAMENTO DE ENSINO E ORGANIZAÇÃO ACADÊMICA,1
ASSESSORIA DE PLANEJAMENTO E AÇÕES ESTRATÉGICAS,1
COORDENAÇÃO DO CURSO DE LETRAS/CCH,1
COORDENACAO DO CURSO DE LETRAS/LIBRAS/DCCH,1
COORDENAÇÃO DO CURSO DE CIÊNCIAS DA COMPUTAÇÃO/CCET,1
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA DA COMPUTAÇÃO/CCET,1
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA/PPPGI,1
DEPARTAMENTO DE EMPREENDORISMO E INOVACAO/PROEX,1
COORDENAÇÃO DO CURSO DE HISTÓRIA/CCH,1
PROGRAMA DE PÓS-GRADUAÇÃO EM HISTÓRIA/CCH,1
COORDENAÇÃO DO CURSO DE GEOGRAFIA/CCH,1
PROGRAMA DE PÓS-GRADUAÇÃO EM FÍSICA/CCET,1
PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE CIÊNCIAS E MATEMÁTICA/CCET,1
DEPARTAMENTO DE PESQUISA/PPPGI,1
COORDENAÇÃO DO CURSO DE FÍSICA/CCET,1
PROGRAMA DE PÓS-GRADUAÇÃO EM REDE - ENSINO DE FÍSICA EM REDE NACIONAL/CCET,1
COORDENAÇÃO DO CURSO DE FILOSOFIA/CCH,1
PROGRAMA DE PÓS-GRADUAÇÃO EM CULTURA E SOCIEDADE/CCH,1
COORDENAÇÃO DO CURSO DE FARMÁCIA/CCBS,1
PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE E AMBIENTE/CCBS,1
PROGRAMA DE PÓS-GRADUAÇÃO EM ENFERMAGEM/CCBS,1
DIVISÃO TÉCNICA DE EXTENSÃO/PROEXCE,1
UNIVERSIDADE FEDERAL DO MARANHÃO,1
COORDENAÇÃO DO CURSO DE ENFERMAGEM/CCBS,1
PROGRAMA DE PÓS-GRADUAÇÃO EM REDE - REDE NORDESTE DE FORMAÇÃO EM SAÚDE DA FAMÍLIA/CCBS,1
GABINETE/PROEXCE,1
PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO/CCSO,1
NÚCLEO DE PRO-ACESSIBILIDADE/PROEN,1
DIRETORIA DE CENTRO/CCSO,1
COORDENAÇÃO DO CURSO DE PEDAGOGIA/CCSO,1
DEPARTAMENTO DE DESENVOLVIMENTO DO ENSINO GRADUAÇÃO,1
PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO DE ENSINO DA EDUCAÇÃO BÁSICA,1
COORDENACAO DO CURSO DE EDUCAÇÃO FÍSICA BACHARELADO/DCCBS,1
NÚCLEO DE ESPORTES/CCBS,1
PROGRAMA DE PÓS-GRADUACAO EM EDUCAÇÃO FÍSICA,1
COORDENAÇÃO DO CURSO DE EDUCAÇÃO FÍSICA/CCBS,1
PROGRAMA DE PÓS-GRADUAÇÃO EM POLÍTICAS PÚBLICAS/CCSO,1
PROGRAMA DE PÓS-GRADUAÇÃO EM DESENVOLVIMENTO SOCIOECONOMICO/CCSO,1
COORDENAÇÃO DO CURSO DE CIÊNCIAS ECONÔMICAS/CCSO,1
COORDENAÇÃO DO CURSO DE DIREITO/CCSO,1
PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITO/CCSO,1
EDITORA UNIVERSITÁRIA/NC,1
PROGRAMA DE PÓS-GRADUAÇÃO EM DESIGN/CCET,1
COORDENAÇÃO DO CURSO DE DESENHO INDUSTRIAL/CCET,1
TV UFMA/NC,1
COORDENAÇÃO DO CURSO DE COMUNICAÇÃO SOCIAL/CCSO,1
RADIO UNIVERSIDADE/NC,1
NÚCLEO DE EVENTOS E CONCURSOS,1
PROGRAMA DE PÓS-GRADUAÇÃO EM REDE - MATEMÁTICA EM REDE NACIONAL/CCET,1
